,Symbol,LastSale
0,TXG,899900
1,YI,63800
2,PIH,45199
3,PIHPP,252475
4,TURN,17800
5,FLWS,212500
6,BCOW,95000
7,ONEM,383100
8,FCCY,125800
9,SRCE,343400
10,VNET,260700
11,TWOU,393100
12,QFIN,114500
13,KRKR,33700
14,JOBS,671700
15,ETNB,276000
16,JFK,101500
17,JFKKR,3303
18,JFKKU,106199
19,JFKKW,4300
20,EGHT,163800
21,NMTR,6401
22,JFU,34000
23,AAON,537300
24,ABEO,28500
25,ABMD,2638399
26,AXAS,2282
27,ACIU,70600
28,ACIA,670500
29,ACTG,41300
30,ACHC,255700
31,ACAD,516100
32,ACAM,102800
33,ACAMU,103900
34,ACAMW,11700
35,ACST,5304
36,AXDX,158600
37,XLRN,1013500
38,ACCD,297000
39,ARAY,21700
40,ACRX,11399
41,ACER,32500
42,ACHV,3983
43,ACIW,267800
44,ACRS,15000
45,ACMR,658900
46,ACNB,250100
47,ACOR,7338
48,ATVI,775100
49,ADMS,25600
50,ADMP,5400
51,AHCO,200000
52,ADAP,97899
53,ADPT,474900
54,ADXN,94450
55,ADUS,921400
56,AEY,32500
57,ADIL,13799
58,ADILW,3500
59,ADTX,40199
60,ADMA,28900
61,ADBE,4429500
62,ADTN,105200
63,ADRO,25000
64,ADES,48900
65,AEIS,672400
66,AMD,523400
67,ADXS,5546
68,ADVM,208200
69,DWEQ,207900
70,DWAW,286099
71,DWUS,282100
72,DWMC,209107
73,DWSH,195799
74,ACT,228214
75,AEGN,160900
76,AGLE,90600
77,AEHR,18798
78,AMTX,8134
79,AERI,139700
80,AVAV,777099
81,ARPO,12600
82,AIH,62000
83,AEZS,3784
84,AEMD,19000
85,AFMD,45700
86,AFYA,234000
87,AGBA,102301
88,AGBAR,2081
89,AGBAU,102200
90,AGBAW,2600
91,AGEN,40199
92,AGRX,28300
93,AGYS,179300
94,AGIO,556900
95,AGMH,196000
96,AGNC,127150
97,AGNCM,216700
98,AGNCN,224899
99,AGNCO,215500
100,AGNCP,205400
101,API,564900
102,AGFS,27599
103,AGFSW,210
104,AIKI,8155
105,ALRN,11600
106,AIMT,168200
107,AIRT,117419
108,AIRTP,213122
109,AIRTW,602
110,ATSG,226700
111,AIRG,111100
112,ANTE,8020
113,AKAM,1131200
114,AKTX,22400
115,AKCA,141300
116,AKBA,130800
117,KERN,82100
118,KERNW,8301
119,AKRO,330200
120,AKER,35600
121,AKUS,211500
122,AKTS,83000
123,ALRM,677400
124,ALSK,27000
125,ALAC,107100
126,ALACR,2798
127,ALACU,106862
128,ALACW,2300
129,ALBO,259500
130,ALDX,41700
131,ALEC,238100
132,ALRS,194899
133,ALXN,1123000
134,ALCO,320000
135,ALGN,2799300
136,ALIM,57600
137,ALYA,16299
138,ALJJ,6300
139,ALKS,195900
140,ALLK,669000
141,ABTX,238100
142,ALGT,1092200
143,ALNA,15400
144,ARLP,32700
145,LNT,494200
146,AESE,21500
147,AHPI,114500
148,AMOT,339099
149,ALLO,449600
150,ALLT,104200
151,MDRX,66400
152,ALNY,1498700
153,AOSL,103300
154,GOOG,14647000
155,GOOGL,14699300
156,SMCP,198100
157,ATEC,49600
158,ALPN,101800
159,ALTA,214899
160,ALTR,394000
161,ATHE,16000
162,ALT,104200
163,ASPS,145400
164,AIMC,306400
165,ALTM,112500
166,AMAG,80450
167,AMAL,116199
168,AMRN,69200
169,AMRK,190500
170,AMZN,28903000
171,AMBC,138300
172,AMBA,452100
173,AMCX,231600
174,AMCI,102400
175,AMCIU,105500
176,AMCIW,5473
177,DOX,600200
178,AMED,2041399
179,AMTB,142700
180,AMTBB,106400
181,UHAL,3003000
182,AMRH,15600
183,AMRHW,900
184,ATAX,40000
185,AMOV,128900
186,AAL,125000
187,AFIN,79300
188,AFINP,230600
189,AMNB,231700
190,ANAT,689700
191,APEI,292200
192,AREC,13600
193,AMRB,102700
194,AMSWA,167800
195,AMSC,78200
196,AVCT,35500
197,AVCTW,2368
198,AMWD,718500
199,CRMT,867600
200,ABCB,221400
201,AMSF,599600
202,ASRV,30000
203,ASRVP,278629
204,ATLO,195200
205,AMGN,2582400
206,FOLD,155500
207,AMKR,122700
208,AMPH,219200
209,IBUY,733500
210,AMHC,102500
211,AMHCU,102000
212,AMHCW,10000
213,ASYS,47699
214,AMRS,47800
215,ADI,1212400
216,ANAB,225400
217,AVXL,49500
218,ANCN,15500
219,ANDA,104200
220,ANDAR,5500
221,ANDAU,113384
222,ANDAW,5800
223,ANGI,134300
224,ANGO,103300
225,ANIP,308900
226,ANIK,383700
227,ANIX,31800
228,ANPC,61650
229,ANSS,2979700
230,ATRS,27300
231,ATEX,437299
232,APA,132600
233,APLS,329600
234,APEX,6899
235,APXT,103000
236,APXTU,111500
237,APXTW,19209
238,APHA,43000
239,APOG,227000
240,APEN,16699
241,AINV,95200
242,AMEH,164200
243,APPF,1635600
244,APPN,527400
245,AAPL,3641100
246,APDN,82500
247,AGTC,64300
248,AMAT,610000
249,AMTI,270000
250,AAOI,107899
251,APLT,331500
252,APRE,366000
253,APVO,91800
254,APTX,49900
255,APM,38100
256,APTO,65000
257,APYX,54200
258,AQMS,11200
259,AQB,31000
260,AQST,47100
261,ARAV,116400
262,ABUS,18800
263,ABIO,67400
264,RKDA,38500
265,ARCB,256600
266,ACGL,280900
267,ACGLO,248500
268,ACGLP,242600
269,FUV,68200
270,ARCE,430000
271,ARCT,465600
272,ARQT,320100
273,ARDX,70200
274,ARNA,631000
275,ARCC,144800
276,ARGX,2287200
277,ARDS,63300
278,ARKR,126397
279,DWCR,249288
280,DWAT,103200
281,AROW,284900
282,ARWR,442000
283,ARTL,12700
284,ARTLW,1034
285,ARTNA,366000
286,ARTW,24400
287,ARVN,338800
288,ARYBU,116000
289,ASNA,12500
290,ASND,1510000
291,APWC,10700
292,ASLN,19800
293,ASML,3732200
294,ASPU,87400
295,AZPN,1040900
296,AWH,40500
297,ASMB,231800
298,ASRT,8200
299,ASFI,129414
300,ASTE,455200
301,ATRO,99100
302,ALOT,78800
303,ASTC,28600
304,ASUR,66800
305,AACG,13100
306,ATRA,146800
307,ATNX,137200
308,ATHX,26700
309,ATIF,19150
310,AAME,17000
311,ACBI,111900
312,AUB,213299
313,AUBAP,248250
314,AY,297400
315,ATLC,108699
316,AAWW,444400
317,AFH,5845
318,ATCX,69000
319,ATCXW,4000
320,TEAM,1900800
321,ATNI,595400
322,ATOM,85800
323,ATOS,37200
324,BCEL,227100
325,ATRC,463000
326,ATRI,6480400
327,LIFE,42600
328,AUBN,561500
329,AUDC,309300
330,AEYE,103200
331,AUPH,155600
332,EARS,9568
333,JG,15500
334,ADSK,2401500
335,AUTL,149000
336,ADP,1505400
337,AUTO,12000
338,AVDL,79700
339,AVCO,17800
340,ATXI,104700
341,AVEO,48900
342,AVNW,185900
343,CDMO,72000
344,CDMOP,259000
345,AVID,74100
346,RNA,268700
347,AVGR,3320
348,CAR,259200
349,RCEL,300000
350,AVT,268600
351,AVRO,177700
352,AWRE,30700
353,ACLS,272800
354,AXLA,52900
355,AXGN,114900
356,AAXN,1003400
357,AXNX,378700
358,AXGT,27500
359,AXSM,809700
360,AXTI,45599
361,AYLA,97000
362,AYRO,32700
363,AYTU,13700
364,AZRX,8966
365,BCOM,25299
366,RILY,217000
367,RILYG,232500
368,RILYH,237100
369,RILYI,231000
370,RILYM,212100
371,RILYN,211100
372,RILYO,221000
373,RILYP,216500
374,RILYZ,229500
375,BOSC,29700
376,BIDU,1233000
377,BCPC,941600
378,BLDP,173600
379,BANF,383600
380,BANFP,280541
381,BCTF,115201
382,BAND,1322600
383,BFC,624000
384,BOCH,72500
385,BMRC,328900
386,BMLP,295600
387,BKSC,167900
388,BOTJ,95900
389,OZK,230000
390,BSVN,110399
391,BFIN,82000
392,BWFG,159000
393,BANR,359900
394,BZUN,421599
395,DFVL,854449
396,DFVS,133850
397,DTUL,760250
398,DTUS,220850
399,DTYL,979929
400,FLAT,739400
401,STPP,255050
402,TAPR,713349
403,BBSI,514000
404,GOLD,262700
405,BSET,76700
406,ZTEST,101000
407,BXRX,40000
408,BCML,124100
409,BBQ,32300
410,BCBP,87000
411,BECN,255300
412,BEAM,288700
413,BBGI,23400
414,BBBY,108100
415,BGNE,1958600
416,BELFA,101422
417,BELFB,98900
418,BLPH,129600
419,BLCM,83400
420,BLU,120200
421,BNFT,111300
422,BFYT,218200
423,BNTC,77200
424,BRY,47900
425,BWMX,92500
426,XAIR,70700
427,BYND,1407200
428,BYSI,147700
429,BGCP,26200
430,BCYC,156456
431,BGFV,19000
432,BRPA,108794
433,BRPAR,3900
434,BRPAU,134428
435,BRPAW,3211
436,BILI,481800
437,BASI,52400
438,BCDA,23500
439,BCDAW,8000
440,BIOC,6565
441,BCRX,50199
442,BDSI,44400
443,BFRA,66101
444,BIIB,2651200
445,BHTG,19000
446,BKYI,7705
447,BIOL,3970
448,BLFS,179800
449,BLRX,17300
450,BMRN,1267800
451,BMRA,83800
452,BNGO,4861
453,BNGOW,1100
454,BVXV,245799
455,BNTX,632700
456,BPTH,50700
457,BSGM,74100
458,BSTC,624200
459,TECH,2691800
460,BEAT,455600
461,BTAI,521599
462,BJRI,193000
463,BDTX,410200
464,BLKB,586400
465,BL,880699
466,BKCC,27200
467,TCPC,89800
468,BLNK,52800
469,BLNKW,22650
470,BLMN,101800
471,BCOR,116800
472,BLBD,142400
473,BHAT,13600
474,BLUE,595000
475,BKEP,14100
476,BKEPP,56551
477,BPMC,791500
478,ITEQ,482900
479,BMCH,242800
480,BSBK,88000
481,WIFI,135800
482,BOKF,536000
483,BOKFL,255100
484,BNSO,26791
485,BKNG,16699800
486,BIMI,21100
487,BRQS,12000
488,BOMN,157500
489,BPFH,63500
490,EPAY,500800
491,BOXL,9227
492,BCLI,122000
493,BWAY,60400
494,BBI,10100
495,BDGE,203000
496,BBIO,297600
497,BLIN,16400
498,BWB,93400
499,BRID,169000
500,BCOV,77500
501,BHF,267500
502,BHFAL,253700
503,BHFAO,253000
504,BHFAP,251600
505,BRLIU,100300
506,AVGO,3154700
507,AVGOP,11206000
508,BYFC,31100
509,BWEN,36200
510,BROG,89299
511,BROGW,4100
512,BPY,113900
513,BPYPN,170500
514,BPYPO,191000
515,BPYPP,191400
516,BPYU,114700
517,BPYUP,162600
518,BRKL,94200
519,BRKS,444600
520,BRP,165200
521,DOOO,422299
522,BRKR,415000
523,BMTC,262300
524,BSQR,15700
525,BLDR,200700
526,BNR,271500
527,BFST,142100
528,CFFI,343500
529,CHRW,791800
530,CABA,113100
531,CCMP,1387600
532,CDNS,978199
533,CDZI,101800
534,CZR,123000
535,CSTE,114000
536,CLBS,17500
537,CHY,115100
538,CHI,108300
539,CCD,216000
540,CHW,74300
541,CGO,120100
542,CPZ,152200
543,CSQ,125500
544,CAMP,77300
545,CVGW,621800
546,CALB,144300
547,CALA,51500
548,CALT,222200
549,CALM,445100
550,CLMT,21300
551,CLXT,50400
552,CMBM,76500
553,CATC,554500
554,CAC,339700
555,CAMT,125700
556,CAN,18100
557,CSIQ,200400
558,CGIX,27500
559,CPHC,107500
